大富翁数据中心_市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
sc,rb1605,2016-03-07 18:51:12.500,2073.0000,1725824,1725824,0.0000,0.0000,862912,-862912,空开,S,0.0000,0.0000,0,0
sc,rb1605,2016-03-07 20:59:00.500,2194.0000,1716960,-8864,1553044840.0000,70786.0000,30961,39825,空平,B,2193.0000,2194.0000,51,2589
sc,rb1605,2016-03-07 21:00:00.500,2183.0000,1718974,2014,196054220.0000,8952.0000,5483,3469,空开,S,2183.0000,2189.0000,81,945
sc,rb1605,2016-03-07 21:00:01.000,2183.0000,1718792,-182,115021100.0000,5260.0000,2539,2721,多平,S,2180.0000,2183.0000,119,39
sc,rb1605,2016-03-07 21:00:01.500,2187.0000,1720508,1716,224735020.0000,10298.0000,6007,4291,多开,B,2187.0000,2188.0000,11,20
sc,rb1605,2016-03-07 21:00:02.000,2183.0000,1713150,-7358,557114320.0000,25758.0000,9200,16558,多平,S,2181.0000,2183.0000,30,59
sc,rb1605,2016-03-07 21:00:02.500,2187.0000,1711754,-1396,335596020.0000,15628.0000,7116,8512,空平,B,2186.0000,2187.0000,29,24
sc,rb1605,2016-03-07 21:00:03.000,2160.0000,1711886,132,58039500.0000,2660.0000,1396,1264,空开,S,2160.0000,2180.0000,269,169
sc,rb1605,2016-03-07 21:00:03.500,2160.0000,1712446,560,61420020.0000,2838.0000,1699,1139,空开,S,2156.0000,2160.0000,2,56
sc,rb1605,2016-03-07 21:00:04.000,2160.0000,1712812,366,72527360.0000,3352.0000,1859,1493,空开,S,2158.0000,2159.0000,59,3
sc,rb1605,2016-03-07 21:00:04.500,2159.0000,1712210,-602,95983040.0000,4426.0000,1912,2514,多平,S,2159.0000,2181.0000,206,72
sc,rb1605,2016-03-07 21:00:05.000,2180.0000,1712164,-46,28436780.0000,1312.0000,633,679,空平,B,2173.0000,2180.0000,25,95
